BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;Utrecht;VWO;;;Economie en Maatschappij;23;23;0;6,4;,0;6,5
02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;Utrecht;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;46;46;0;6,7;,0;6,7
02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;Utrecht;VWO;;;Natuur en Gezondheid;26;26;0;6,6;,0;6,7
02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;Utrecht;VWO;;;Natuur en Techniek;9;9;0;6,4;,0;6,5
02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;Utrecht;VWO;;;Natuur en Techniek / Natuur en Gezondheid;52;52;0;6,9;,0;7,0
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Cultuur en Maatschappij;5;5;0;6,2;,0;6,3
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Economie en Maatschappij;43;42;1;6,4;,0;6,6
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;2;2;0;6,5;,0;6,6
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Natuur en Gezondheid;8;7;1;6,3;,0;6,4
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Natuur en Techniek;2;2;0;7,0;,0;7,1
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;3;3;0;6,3;,0;6,4
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Cultuur en Maatschappij;2;2;0;7,1;,0;7,3
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Economie en Maatschappij;4;4;0;6,8;,0;6,8
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;3;0;6,5;,0;6,6
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Natuur en Gezondheid;11;11;0;6,4;,0;6,5
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Natuur en Techniek;4;4;0;6,7;,0;6,8
02UG;02UG00;Laurens Lyceum;ROTTERDAM;Zuid-Holland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;15;15;0;6,9;,0;7,0
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Cultuur en Maatschappij;2;2;0;6,8;,0;6,8
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Economie en Maatschappij;52;50;2;6,7;,0;6,7
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;2;1;6,4;,0;6,5
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Natuur en Gezondheid;15;15;0;6,6;,0;6,7
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Natuur en Techniek;7;7;0;6,5;,0;6,6
02UP;02UP00;Marnix College;EDE;Gelderland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;7;7;0;6,7;,0;6,7
02UP;02UP00;Marnix College;EDE;Gelderland;VMBO;TL;Economie;;42;42;0;6,6;,0;6,7
02UP;02UP00;Marnix College;EDE;Gelderland;VMBO;TL;Techniek;;6;6;0;6,8;,0;6,8
02UP;02UP00;Marnix College;EDE;Gelderland;VMBO;TL;Zorg & Welzijn;;14;14;0;6,8;,0;6,9
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Cultuur en Maatschappij;2;2;0;6,7;,0;6,7
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Economie en Maatschappij;22;22;0;6,8;,0;6,9
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;13;13;0;6,8;,0;6,8
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Natuur en Gezondheid;21;21;0;6,8;,0;6,8
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Natuur en Techniek;6;6;0;6,9;,0;6,9
02UP;02UP00;Marnix College;EDE;Gelderland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;35;34;1;7,2;,0;7,3
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;HAVO;;;Cultuur en Maatschappij;14;14;0;6,9;,0;6,9
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;HAVO;;;Economie en Maatschappij;42;38;4;6,6;,0;6,7
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Gezondheid;12;12;0;6,7;,0;6,8
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Techniek;6;6;0;6,7;,0;6,8
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VMBO;TL;Economie;;18;18;0;6,6;,0;6,7
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VMBO;TL;Techniek;;5;5;0;6,3;,0;6,4
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VMBO;TL;Zorg & Welzijn;;5;4;1;6,1;,0;6,1
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VWO;;;Cultuur en Maatschappij;6;6;0;6,8;,0;6,8
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VWO;;;Economie en Maatschappij;18;18;0;6,8;,0;6,9
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Gezondheid;6;6;0;6,3;,0;6,4
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek;22;20;2;6,8;,0;6,9
02US;02US00;SGM Haags Montessori Lyc;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;2;2;0;7,7;,0;7,7
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;HAVO;;;Cultuur en Maatschappij;6;6;0;6,7;,0;6,8
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;HAVO;;;Economie en Maatschappij;29;29;0;6,5;,0;6,5
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;9;9;0;6,6;,0;6,7
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Gezondheid;4;4;0;6,8;,0;6,9
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;5;5;0;6,4;,0;6,5
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Cultuur en Maatschappij;8;8;0;6,8;,0;6,8
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Economie en Maatschappij;18;18;0;6,7;,0;6,7
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;25;25;0;6,9;,0;7,0
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Gezondheid;10;10;0;6,7;,0;6,8
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek;11;10;1;6,9;,0;7,0
02UT;02UT00;VCL;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;22;21;1;7,0;,0;7,1
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Cultuur en Maatschappij;22;22;0;6,5;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Economie en Maatschappij;84;79;5;6,5;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;8;8;0;7,1;,0;7,2
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Natuur en Gezondheid;32;31;1;6,6;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Natuur en Techniek;17;17;0;6,6;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;14;14;0;6,9;,0;6,9
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Cultuur en Maatschappij;13;12;1;6,7;,0;6,7
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Economie en Maatschappij;29;29;0;6,6;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;20;20;0;7,0;,0;7,1
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Natuur en Gezondheid;19;18;1;6,6;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Natuur en Techniek;8;8;0;6,5;,0;6,6
02UV;02UV00;Gomarus College;GRONINGEN;Groningen;VWO;;;Natuur en Techniek / Natuur en Gezondheid;31;31;0;7,1;,0;7,2
02UV;02UV03;Gomarus College;SMALLINGERLAND;Friesland;VMBO;TL;Economie;;16;16;0;6,4;,0;6,5
02UV;02UV03;Gomarus College;SMALLINGERLAND;Friesland;VMBO;TL;Landbouw;;1;1;0;6,6;,0;6,9
02UV;02UV03;Gomarus College;SMALLINGERLAND;Friesland;VMBO;TL;Techniek;;6;6;0;6,8;,0;6,9
02UV;02UV03;Gomarus College;SMALLINGERLAND;Friesland;VMBO;TL;Zorg & Welzijn;;15;15;0;6,7;,0;6,7
02UV;02UV04;Gomarus College;LEEUWARDEN;Friesland;VMBO;TL;Economie;;8;8;0;6,6;,0;6,6
02UV;02UV04;Gomarus College;LEEUWARDEN;Friesland;VMBO;TL;Techniek;;4;4;0;7,1;,0;7,3
02UV;02UV04;Gomarus College;LEEUWARDEN;Friesland;VMBO;TL;Zorg & Welzijn;;14;14;0;6,6;,0;6,6
02UV;02UV05;Gomarus College;ASSEN;Drenthe;VMBO;TL;Economie;;9;9;0;6,5;,0;6,5
02UV;02UV05;Gomarus College;ASSEN;Drenthe;VMBO;TL;Landbouw;;1;1;0;6,8;,0;6,9
02UV;02UV05;Gomarus College;ASSEN;Drenthe;VMBO;TL;Techniek;;6;6;0;6,4;,0;6,5
02UV;02UV05;Gomarus College;ASSEN;Drenthe;VMBO;TL;Zorg & Welzijn;;14;14;0;6,5;,0;6,5
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;BL;Techniek;BWI;6;6;0;6,5;,0;6,6
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;BL;Techniek;PIE;6;6;0;6,5;,0;6,6
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;BL;Zorg & Welzijn;ZWE;12;12;0;6,4;,0;6,5
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;GL;Economie;EO;21;21;0;6,8;,0;6,8
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;GL;Techniek;PIE;7;7;0;6,4;,0;6,4
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;GL;Zorg & Welzijn;ZWE;40;40;0;6,8;,0;6,8
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;KL;Economie;EO;10;10;0;6,7;,0;6,8
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;KL;Techniek;BWI;7;7;0;6,8;,0;6,9
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;KL;Techniek;PIE;27;27;0;6,6;,0;6,6
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;KL;Zorg & Welzijn;ZWE;44;44;0;6,7;,0;6,7
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;TL;Economie;;12;12;0;6,7;,0;6,7
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;TL;Techniek;;4;4;0;6,7;,0;6,8
02UV;02UV17;Gomarus College;GRONINGEN;Groningen;VMBO;TL;Zorg & Welzijn;;14;14;0;6,8;,0;6,9
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Cultuur en Maatschappij;13;13;0;6,6;,0;6,7
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Economie en Maatschappij;19;19;0;6,5;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;7;0;6,7;,0;6,8
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Natuur en Gezondheid;38;37;1;6,8;,0;6,8
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Natuur en Techniek;21;21;0;6,6;,0;6,7
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;31;31;0;6,7;,0;6,8
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Economie;EO;1;1;0;6,4;,0;6,4
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Economie;HBR;12;11;1;6,1;,0;6,3
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Landbouw;G;14;14;0;6,6;,0;6,7
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Techniek;BWI;11;11;0;6,6;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Techniek;MTR;8;8;0;6,4;,0;6,5
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Techniek;PIE;7;7;0;6,3;,0;6,3
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Zorg & Welzijn;ZWE;12;12;0;6,3;,0;6,3
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;GL;Intersect. programma;DP;62;60;2;6,4;,0;6,4
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Economie;EO;6;6;0;6,5;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Economie;HBR;13;13;0;6,2;,0;6,3
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Landbouw;G;11;11;0;6,6;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Techniek;BWI;5;5;0;6,8;,0;6,9
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Techniek;MTR;11;10;1;6,5;,0;6,5
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Techniek;PIE;14;14;0;6,6;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Zorg & Welzijn;ZWE;37;36;1;6,6;,0;6,7
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;TL;Economie;;8;8;0;6,6;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;TL;Landbouw;;3;3;0;6,5;,0;6,6
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VMBO;TL;Zorg & Welzijn;;10;10;0;6,3;,0;6,5
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Cultuur en Maatschappij;8;8;0;6,8;,0;6,9
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Economie en Maatschappij;13;13;0;6,8;,0;6,9
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;7;0;7,2;,0;7,2
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Natuur en Gezondheid;12;12;0;7,0;,0;7,0
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Natuur en Techniek;9;8;1;7,2;,0;7,2
02UX;02UX00;Vechtdal College;HARDENBERG;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;18;18;0;7,1;,0;7,1
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Intersect. programma;DP;6;6;0;6,5;,0;6,6
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;BL;Zorg & Welzijn;ZWE;7;7;0;7,0;,0;7,1
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Intersect. programma;DP;11;11;0;6,3;,0;6,4
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;KL;Zorg & Welzijn;ZWE;15;15;0;6,6;,0;6,7
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;TL;Economie;;5;5;0;6,3;,0;6,4
02UX;02UX01;Vechtdal College;HARDENBERG;Overijssel;VMBO;TL;Zorg & Welzijn;;3;3;0;7,0;,0;7,1
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Cultuur en Maatschappij;8;8;0;6,6;,0;6,7
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Economie en Maatschappij;43;43;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;4;4;0;6,6;,0;6,7
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Natuur en Gezondheid;38;38;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Natuur en Techniek;7;7;0;6,4;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;9;9;0;6,6;,0;6,7
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;BL;Economie;HBR;4;4;0;6,7;,0;6,8
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;BL;Intersect. programma;DP;3;3;0;6,3;,0;6,4
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;BL;Techniek;BWI;9;9;0;6,7;,0;6,7
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;BL;Techniek;PIE;10;10;0;6,6;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;BL;Zorg & Welzijn;ZWE;5;5;0;6,4;,0;6,5
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;GL;Intersect. programma;DP;1;1;0;6,1;,0;6,0
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;KL;Economie;HBR;7;7;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;KL;Intersect. programma;DP;26;26;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;KL;Techniek;BWI;8;8;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;KL;Techniek;PIE;17;17;0;6,6;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;KL;Zorg & Welzijn;ZWE;22;22;0;6,5;,0;6,5
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;TL;Economie;;38;38;0;6,5;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;TL;Landbouw;;3;3;0;6,7;,0;6,8
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;TL;Techniek;;16;16;0;6,7;,0;6,8
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VMBO;TL;Zorg & Welzijn;;35;35;0;6,6;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Cultuur en Maatschappij;5;5;0;6,6;,0;6,8
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Economie en Maatschappij;16;16;0;6,7;,0;6,7
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;9;9;0;6,8;,0;6,9
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Natuur en Gezondheid;10;10;0;6,6;,0;6,6
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Natuur en Techniek;7;7;0;6,4;,0;6,5
02UX;02UX06;Vechtdal College;OMMEN;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;21;21;0;6,9;,0;7,0
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Cultuur en Maatschappij;6;6;0;6,6;,0;6,7
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Economie en Maatschappij;30;29;1;6,4;,0;6,5
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;6;6;0;6,7;,0;6,7
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Natuur en Gezondheid;16;16;0;6,5;,0;6,6
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Natuur en Techniek;2;2;0;6,6;,0;6,7
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;13;13;0;6,7;,0;6,8
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Economie;;23;22;1;6,2;,0;6,3
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Landbouw;;3;3;0;6,1;,0;6,1
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Techniek;;8;8;0;6,2;,0;6,3
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Zorg & Welzijn;;21;21;0;6,3;,0;6,4
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VWO;;;Economie en Maatschappij;6;6;0;6,6;,0;6,7
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;5;0;6,9;,0;7,0
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VWO;;;Natuur en Gezondheid;6;6;0;6,7;,0;6,7
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VWO;;;Natuur en Techniek;3;3;0;6,8;,0;6,9
02VA;02VA00;Roelof van Echten College;HOOGEVEEN;Drenthe;VWO;;;Natuur en Techniek / Natuur en Gezondheid;8;8;0;6,8;,0;6,8
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;BL;Intersect. programma;DP;20;20;0;6,5;,0;6,5
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;BL;Techniek;MTR;12;12;0;6,1;,0;6,2
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;BL;Zorg & Welzijn;ZWE;16;16;0;6,7;,0;6,7
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;KL;Intersect. programma;DP;51;49;2;6,5;,0;6,6
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;KL;Techniek;MTR;8;8;0;6,2;,0;6,3
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;KL;Zorg & Welzijn;ZWE;42;42;0;6,6;,0;6,7
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Economie;;14;12;2;5,9;,0;6,1
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Techniek;;22;21;1;6,3;,0;6,3
02VA;02VA01;St. Roelof van Echten College;HOOGEVEEN;Drenthe;VMBO;TL;Zorg & Welzijn;;7;7;0;6,2;,0;6,3
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;HAVO;;;Cultuur en Maatschappij;12;12;0;6,7;,0;6,8
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;HAVO;;;Economie en Maatschappij;57;56;1;6,6;,0;6,7
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;HAVO;;;Natuur en Gezondheid;13;13;0;6,8;,0;6,8
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;30;30;0;7,0;,0;7,1
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;VMBO;TL;Economie;;42;42;0;6,5;,0;6,6
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;VMBO;TL;Landbouw;;12;12;0;6,5;,0;6,6
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;VMBO;TL;Techniek;;14;14;0;6,9;,0;7,0
02VB;02VB00;Ichthus College;KAMPEN;Overijssel;VMBO;TL;Zorg & Welzijn;;42;42;0;6,5;,0;6,6
02VB;02VB01;Ichthus College;KAMPEN;Overijssel;VWO;;;Cultuur en Maatschappij;1;1;0;6,2;,0;6,3
02VB;02VB01;Ichthus College;KAMPEN;Overijssel;VWO;;;Economie en Maatschappij;18;18;0;6,8;,0;6,9
02VB;02VB01;Ichthus College;KAMPEN;Overijssel;VWO;;;Natuur en Techniek;1;1;0;6,8;,0;6,8
02VB;02VB01;Ichthus College;KAMPEN;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;15;15;0;7,0;,0;7,1
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Cultuur en Maatschappij;3;3;0;6,2;,0;6,3
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Economie en Maatschappij;28;28;0;6,6;,0;6,7
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;2;2;0;6,7;,0;6,8
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Natuur en Gezondheid;22;22;0;6,4;,0;6,5
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Natuur en Techniek;14;14;0;6,7;,0;6,7
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;4;4;0;7,0;,0;7,1
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VMBO;TL;Economie;;21;21;0;6,6;,0;6,7
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VMBO;TL;Landbouw;;2;2;0;6,3;,0;6,4
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VMBO;TL;Techniek;;5;5;0;6,5;,0;6,6
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VMBO;TL;Zorg & Welzijn;;13;13;0;6,8;,0;6,9
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VWO;;;Cultuur en Maatschappij;2;2;0;7,3;,0;7,4
02VB;02VB02;Ichthus College;DRONTEN;Flevoland;VWO;;;Economie en Maatschappij;18;18;0;6,9;,0;6,9
